MKH	Họ và tên	Ngày sinh	Giới tính	Nhóm máu	Địa chỉ thường trú	Quốc tịch	Số điện thoại	Email	Số CCCD	Tình trạng hôn nhân	Tên đăng nhập hệ thống	Địa chỉ IP hoạt động	Số tài khoản ngân hàng	Tên ngân hàng	Điểm tín dụng CIC	Hồ sơ bệnh án / Sức khỏe	Tọa độ GPS vị trí	Mức thu nhập (VND)	Hình thức vay / Tài sản
30	Bà Lâm Nguyễn	7/12/1984	Nam	O	51 Đặng Hẻm, Thị xã JohnPhường, 910452	Việt Nam	7.03E+08	janemai@yahoo.com	6.9E+10	Độc thân	jane57	151.209.60.211	9.64E+10	BIDV	N/A (Mới)	Cận thị, sức khỏe ổn định	14.87995, 105.28297	17.000.000 / tháng	Thế chấp Ô tô
31	Vân Hoàng	19/09/1977	Nữ	B	34 John Làng, JohnThị xã, 341353	Việt Nam	9.84E+08	jane94@gmail.com	2.61E+10	Đã kết hôn	qhoang	107.20.107.180	2.84E+11	Techcombank	2 (Trung bình)	Huyết áp thấp, ổn định	15.32836, 108.44228	50.000.000 / tháng	Thế chấp Bất động sản
32	Chị Xuân Trần	26/10/1990	Nam	O	JaneThị xã, 9 John Khu, 153109	Việt Nam	3.58E+08	john77@gmail.com	1.3E+10	Độc thân	wnguyen	33.172.151.221	8.37E+11	MB Bank	2 (Trung bình)	Khỏe mạnh, lâm sàng bình thường	18.2099, 102.51448	17.000.000 / tháng	Tín chấp
33	Dương Vũ	1/4/1975	Nữ	A	10 John Làng, Quận JohnThành phố, 477364	Việt Nam	3.28E+08	john54@gmail.com	7.61E+10	Độc thân	johnduong	7.59.143.237	4.94E+11	MB Bank	N/A (Mới)	Cận thị, sức khỏe ổn định	22.71819, 102.95876	36.000.000 / tháng	Thế chấp Bất động sản
34	Vũ Tấn Trần	9/12/1964	Nữ	AB	831 Jane Làng, Huyện JaneQuận, 328822	Việt Nam	9.11E+08	duongjohn@gmail.com	1.81E+10	Độc thân	shoang	190.34.184.4	6.81E+11	SHB	3 (Rủi ro)	Khỏe mạnh, lâm sàng bình thường	14.09949, 108.85186	30.000.000 / tháng	Thế chấp Bất động sản
35	Quang Hoàng Nguyễn	28/11/2003	Nam	A	5 Jane Dãy, JaneQuận, 383261	Việt Nam	9.11E+08	dangjohn@yahoo.com	3.91E+10	Đã kết hôn	jane85	84.90.110.156	1.08E+11	Vietcombank	2 (Trung bình)	Huyết áp thấp, ổn định	21.27328, 107.13652	44.000.000 / tháng	Thế chấp Ô tô
36	Hải Hữu Nguyễn	14/02/1990	Nam	AB	4 Đặng Hẻm, JaneHuyện, 717101	Việt Nam	9.05E+08	bpham@yahoo.com	4.81E+10	Đã kết hôn	vujohn	105.215.14.73	7.59E+11	MB Bank	1 (Tốt)	Huyết áp thấp, ổn định	11.66496, 106.37818	54.000.000 / tháng	Thế chấp Bất động sản
37	Châu Thế Đặng	24/08/1971	Nữ	O	89 Mai Khu, Thị xã JanePhường, 820362	Việt Nam	3.27E+08	duongjane@yahoo.com	7.41E+10	Đã kết hôn	jane44	75.14.8.52	1.17E+11	MB Bank	1 (Tốt)	Bình thường, không có bệnh lý nền	13.27191, 103.40249	55.000.000 / tháng	Thế chấp Bất động sản
38	Quý cô Kim Lê	3/1/1994	Nam	A	4 Jane Ngõ, JohnXã, 923499	Việt Nam	9.63E+08	nguyenjohn@yahoo.com	9.2E+10	Độc thân	john87	49.60.248.64	1.38E+11	MB Bank	1 (Tốt)	Tiền sử đau dạ dày nhẹ	22.8453, 108.40366	32.000.000 / tháng	Thế chấp Bất động sản
39	Vũ Thị Lê	26/05/1988	Nam	O	14 Nguyễn Đường, Quận JaneQuận, 975982	Việt Nam	9.03E+08	dangjane@hotmail.com	4.5E+10	Độc thân	johnmai	41.31.245.53	3.35E+11	SHB	3 (Rủi ro)	Tiền sử đau dạ dày nhẹ	21.90868, 105.7626	29.000.000 / tháng	Thế chấp Bất động sản
40	Linh Dương	6/7/1970	Nam	A	803 Bùi Đường, Quận JohnHuyện, 150184	Việt Nam	9.03E+08	jnguyen@hotmail.com	6.4E+10	Độc thân	vujohn	166.144.214.49	3.64E+09	MB Bank	1 (Tốt)	Huyết áp thấp, ổn định	14.12894, 104.80606	10.000.000 / tháng	Thế chấp Ô tô
41	Dương Vũ	15/07/1964	Nữ	A	47 Lê Số, Quận JaneThị xã, 543532	Việt Nam	9.09E+08	duongjohn@hotmail.com	3.1E+10	Đã kết hôn	johnmai	73.79.76.171	9.59E+11	Vietcombank	N/A (Mới)	Khỏe mạnh, lâm sàng bình thường	15.09418, 102.05711	20.000.000 / tháng	Thế chấp Bất động sản
42	Kim Nguyễn	4/4/1976	Nam	B	67 Phạm Số, JohnThị xã, 706905	Việt Nam	8.69E+08	john97@gmail.com	4.5E+10	Độc thân	cbui	145.20.42.213	1.00E+12	Techcombank	N/A (Mới)	Cận thị, sức khỏe ổn định	18.70152, 105.13765	49.000.000 / tháng	Thế chấp Ô tô
43	Hải Nguyễn	21/03/1964	Nữ	B	610 Hoàng Đường, JaneThành phố, 488795	Việt Nam	3.23E+08	pnguyen@yahoo.com	1.91E+10	Độc thân	jane23	137.198.34.195	9.55E+11	SHB	1 (Tốt)	Cận thị, sức khỏe ổn định	14.765, 107.08852	42.000.000 / tháng	Tín chấp
44	Ngọc Hoàng	3/6/1961	Nữ	O	50 John Hẻm, Quận JohnThành phố, 780026	Việt Nam	9.02E+08	johnmai@gmail.com	8.4E+10	Độc thân	johntran	153.102.43.164	9.10E+11	SHB	N/A (Mới)	Cận thị, sức khỏe ổn định	21.53764, 102.99761	40.000.000 / tháng	Tín chấp
45	Tùng Vũ	25/05/1973	Nữ	B	1 Hoàng Dãy, Thị xã JaneThị xã, 931205	Việt Nam	8.7E+08	bbui@hotmail.com	7.11E+10	Đã kết hôn	jhoang	116.35.153.189	2.61E+11	Techcombank	2 (Trung bình)	Cận thị, sức khỏe ổn định	16.87428, 104.27495	43.000.000 / tháng	Thế chấp Bất động sản
46	Nam Phạm	8/11/1998	Nữ	AB	3 John Số, JaneXã, 308904	Việt Nam	3.22E+08	john55@yahoo.com	2.81E+10	Độc thân	vujane	94.78.120.4	3.41E+11	BIDV	3 (Rủi ro)	Huyết áp thấp, ổn định	21.78639, 107.82242	19.000.000 / tháng	Thế chấp Bất động sản
47	Bác Tùng Đặng	18/11/1973	Nam	AB	831 Hoàng Hẻm, Quận JohnThành phố, 373023	Việt Nam	3.6E+08	duongjohn@gmail.com	8.6E+10	Độc thân	gtran	160.4.125.81	2.10E+11	SHB	2 (Trung bình)	Khỏe mạnh, lâm sàng bình thường	21.24665, 105.97017	46.000.000 / tháng	Tín chấp
48	Nhật Trần	22/03/2002	Nam	B	434 John Số, JohnThị xã, 159292	Việt Nam	7.05E+08	johnvu@gmail.com	6.91E+10	Đã kết hôn	rbui	184.3.178.154	9.23E+11	Vietcombank	3 (Rủi ro)	Khỏe mạnh, lâm sàng bình thường	18.70337, 107.34176	29.000.000 / tháng	Tín chấp
49	Hà Dương	29/12/1972	Nữ	B	62 Phạm Tổ, Quận JaneXã, 500575	Việt Nam	7.05E+08	vujane@gmail.com	9.7E+10	Đã kết hôn	tle	9.154.100.130	2.17E+11	MB Bank	2 (Trung bình)	Bình thường, không có bệnh lý nền	14.13349, 107.52105	13.000.000 / tháng	Thế chấp Bất động sản
50	Anh Phúc Phạm	19/05/2006	Nữ	O	1 John Hẻm, Huyện JanePhường, 788830	Việt Nam	8.62E+08	maijohn@gmail.com	6.1E+10	Độc thân	lejohn	140.5.243.187	2.15E+11	BIDV	1 (Tốt)	Huyết áp thấp, ổn định	18.4537, 105.14545	15.000.000 / tháng	Tín chấp
